week_starting,responder,handler,pings_sent,pings_taken
2026-06-29,Captain Vantage,Mr. Ambrose,12,10
2026-06-29,Cindermark,Farid Haddad,9,7
2026-06-29,Corporal Ashgrove,Yusuf Demir,10,8
2026-06-29,Farlight,Linda Pruitt,12,9
2026-06-29,Halfmoon,Simone Fischer,11,8
2026-06-29,Ironvale,Teresa Alvarez,8,6
2026-06-29,Meteor Mite,Kip,11,7
2026-06-29,Nightwell,Marjorie Sung,15,11
2026-06-29,Sgt. Bulwark,Halloran,9,7
2026-06-29,Sgt. Falkirk,Owen Bramwell,10,9
2026-06-29,Stormwrack,Renata Kovač,13,10
2026-06-29,The Drift,Beatrice Calloway,6,5
2026-06-29,The Gale,Kip,13,10
2026-06-29,The Longcast,Graham Petrov,7,5
2026-06-29,The Undertow,Desmond Okafor,12,9
2026-06-29,Vesper,Aunt Dot,14,11
2026-07-06,Captain Vantage,Mr. Ambrose,13,10
2026-07-06,Cindermark,Farid Haddad,9,8
2026-07-06,Corporal Ashgrove,Yusuf Demir,11,9
2026-07-06,Farlight,Linda Pruitt,12,9
2026-07-06,Halfmoon,Simone Fischer,10,7
2026-07-06,Ironvale,Teresa Alvarez,8,5
2026-07-06,Meteor Mite,Kip,12,9
2026-07-06,Nightwell,Marjorie Sung,14,10
2026-07-06,Sgt. Bulwark,Halloran,9,7
2026-07-06,Sgt. Falkirk,Owen Bramwell,10,8
2026-07-06,Stormwrack,Renata Kovač,13,11
2026-07-06,The Drift,Beatrice Calloway,6,5
2026-07-06,The Gale,Kip,12,9
2026-07-06,The Longcast,Graham Petrov,7,5
2026-07-06,The Undertow,Desmond Okafor,11,9
2026-07-06,Vesper,Aunt Dot,13,10
2026-07-13,Captain Vantage,Mr. Ambrose,12,8
2026-07-13,Cindermark,Farid Haddad,8,6
2026-07-13,Corporal Ashgrove,Yusuf Demir,10,7
2026-07-13,Farlight,Linda Pruitt,11,8
2026-07-13,Halfmoon,Simone Fischer,11,8
2026-07-13,Ironvale,Teresa Alvarez,9,8
2026-07-13,Meteor Mite,Kip,10,6
2026-07-13,Nightwell,Marjorie Sung,15,12
2026-07-13,Sgt. Bulwark,Halloran,10,8
2026-07-13,Sgt. Falkirk,Owen Bramwell,11,8
2026-07-13,Stormwrack,Renata Kovač,12,9
2026-07-13,The Drift,Beatrice Calloway,7,6
2026-07-13,The Gale,Kip,13,10
2026-07-13,The Longcast,Graham Petrov,8,7
2026-07-13,The Undertow,Desmond Okafor,12,9
2026-07-13,Vesper,Aunt Dot,15,13
2026-07-20,Captain Vantage,Mr. Ambrose,11,7
2026-07-20,Cindermark,Farid Haddad,10,7
2026-07-20,Corporal Ashgrove,Yusuf Demir,9,7
2026-07-20,Farlight,Linda Pruitt,12,9
2026-07-20,Halfmoon,Simone Fischer,12,8
2026-07-20,Ironvale,Teresa Alvarez,8,6
2026-07-20,Meteor Mite,Kip,11,7
2026-07-20,Nightwell,Marjorie Sung,16,12
2026-07-20,Sgt. Bulwark,Halloran,9,7
2026-07-20,Sgt. Falkirk,Owen Bramwell,10,8
2026-07-20,Stormwrack,Renata Kovač,14,12
2026-07-20,The Drift,Beatrice Calloway,6,5
2026-07-20,The Gale,Kip,14,11
2026-07-20,The Longcast,Graham Petrov,7,5
2026-07-20,The Undertow,Desmond Okafor,13,10
2026-07-20,Vesper,Aunt Dot,14,11
2026-07-27,Captain Vantage,Mr. Ambrose,12,9
2026-07-27,Cindermark,Farid Haddad,9,7
2026-07-27,Corporal Ashgrove,Yusuf Demir,10,8
2026-07-27,Farlight,Linda Pruitt,13,10
2026-07-27,Halfmoon,Simone Fischer,11,9
2026-07-27,Ironvale,Teresa Alvarez,7,5
2026-07-27,Meteor Mite,Kip,12,9
2026-07-27,Nightwell,Marjorie Sung,15,11
2026-07-27,Sgt. Bulwark,Halloran,8,5
2026-07-27,Sgt. Falkirk,Owen Bramwell,9,7
2026-07-27,Stormwrack,Renata Kovač,13,10
2026-07-27,The Drift,Beatrice Calloway,6,5
2026-07-27,The Gale,Kip,13,11
2026-07-27,The Longcast,Graham Petrov,7,5
2026-07-27,The Undertow,Desmond Okafor,12,10
2026-07-27,Vesper,Aunt Dot,13,11
2026-08-03,Captain Vantage,Mr. Ambrose,12,9
2026-08-03,Cindermark,Farid Haddad,9,8
2026-08-03,Corporal Ashgrove,Yusuf Demir,10,8
2026-08-03,Farlight,Linda Pruitt,12,8
2026-08-03,Halfmoon,Simone Fischer,11,8
2026-08-03,Ironvale,Teresa Alvarez,8,7
2026-08-03,Meteor Mite,Kip,11,8
2026-08-03,Nightwell,Marjorie Sung,15,12
2026-08-03,Sgt. Bulwark,Halloran,9,7
2026-08-03,Sgt. Falkirk,Owen Bramwell,10,8
2026-08-03,Stormwrack,Renata Kovač,13,10
2026-08-03,The Drift,Beatrice Calloway,6,5
2026-08-03,The Gale,Kip,13,10
2026-08-03,The Longcast,Graham Petrov,7,5
2026-08-03,The Undertow,Desmond Okafor,12,9
2026-08-03,Vesper,Aunt Dot,14,12
2026-08-10,Captain Vantage,Mr. Ambrose,13,8
2026-08-10,Cindermark,Farid Haddad,10,6
2026-08-10,Corporal Ashgrove,Yusuf Demir,10,6
2026-08-10,Farlight,Linda Pruitt,10,4
2026-08-10,Halfmoon,Simone Fischer,11,6
2026-08-10,Ironvale,Teresa Alvarez,9,5
2026-08-10,Meteor Mite,Kip,10,4
2026-08-10,Nightwell,Marjorie Sung,16,9
2026-08-10,Sgt. Bulwark,Halloran,10,5
2026-08-10,Sgt. Falkirk,Owen Bramwell,11,7
2026-08-10,Stormwrack,Renata Kovač,14,8
2026-08-10,The Drift,Beatrice Calloway,7,4
2026-08-10,The Gale,Kip,15,9
2026-08-10,The Longcast,Graham Petrov,8,5
2026-08-10,The Undertow,Desmond Okafor,11,4
2026-08-10,Vesper,Aunt Dot,12,6
